id,meter_id,reading_month,sharp_peak,peak,flat,valley,total_kwh,rev_sharp_peak,rev_peak,rev_flat,rev_valley,rev_total,cur_sharp_peak,cur_peak,cur_flat,cur_valley,cur_total,prev_sharp_peak,prev_peak,prev_flat,prev_valley,prev_total,stat_date,is_locked,source_file,source_sheet,email_date,created_at,meter_number,user_id,project_name
11,11,2026-03,37.5,170.95,649.56,592.92,1450.95,253.56,261.23,431.75,3.72,950.26,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042207356624,,
12,12,2026-03,374.15,479.05,673.59,110.55,1637.35,62.46,60.39,117.75,11.99,252.61,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042207356623,,
13,13,2026-03,247.16,316.07,489.65,54.15,1107.04,35.24,35.58,115.18,10.85,196.85,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042207356622,,
14,14,2026-03,403.75,394.53,674.1,44.76,1517.15,0.0,0.1,0.14,0.13,0.38,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042408595673,,
15,15,2026-03,253.64,258.73,451.2,32.26,995.84,0.0,0.04,0.14,0.18,0.37,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042408595672,,
16,16,2026-03,2017.24,1978.0,3529.54,84.01,7608.8,0.0,2.9,2.52,3.77,9.2,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042509164566,,
17,17,2026-03,2544.87,2511.87,4385.16,112.01,9553.91,0.0,1.32,2.66,4.01,8.0,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042509164565,,
18,18,2026-03,138.24,128.11,218.75,5.28,490.4,0.0,0.08,0.08,0.11,0.27,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508943351,,
19,19,2026-03,140.85,133.71,232.59,6.01,513.18,0.0,0.08,0.08,0.1,0.27,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942196,,
20,20,2026-03,146.91,136.59,235.79,5.91,525.22,0.0,0.1,0.08,0.11,0.29,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942195,,
21,21,2026-03,146.33,139.14,245.57,5.27,536.33,0.0,0.1,0.11,0.15,0.37,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942194,,
22,22,2026-03,129.24,118.5,187.86,3.91,439.53,0.0,0.09,0.08,0.1,0.27,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942177,,
23,23,2026-03,161.46,151.48,260.14,6.43,579.52,0.0,0.07,0.08,0.11,0.27,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942176,,
24,24,2026-03,143.42,142.41,268.46,6.33,560.63,0.0,0.08,0.08,0.11,0.27,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042508942175,,
25,25,2026-03,439.56,419.98,716.69,50.34,1626.59,0.0,0.1,0.18,0.18,0.47,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042408595705,,
26,26,2026-03,404.48,384.86,643.69,44.9,1477.93,0.0,0.07,0.17,0.17,0.41,,,,,,,,,,,,0,用户表码（全部） (1).xls,用户表码1,,2026-04-15 02:15:14,09001SF00000042408595704,,
27,27,2026-03,947.76,3073.89,4120.41,2761.43,10903.51,13.2,11.36,27.1,0.06,51.74,,,,,,,,,,,,0,耀嵘.xls,用户表码1,,2026-04-15 02:15:14,0946000082501856,,2月电费
28,28,2026-03,770.74,729.01,1211.51,92.7,2803.97,0.0,0.08,0.45,0.56,1.1,,,,,,,,,,,,0,耀嵘.xls,用户表码1,,2026-04-15 02:15:14,0946070038961957,,2月电费
29,29,2026-03,8358.15,11957.87,17983.56,11355.68,49655.27,73.48,63.67,251.08,4.6,392.84,,,,,,,,,,,,0,深圳市耀嵘科技有限公司20260301 (1).xls,批量信息1,,2026-04-15 02:15:14,0950050038400663,0950000880022175,2026年2月电费
30,30,2026-03,2978.45,3073.38,4305.38,1246.97,11604.2,100.59,90.05,395.39,34.3,620.34,,,,,,,,,,,,0,深圳市耀嵘科技有限公司20260301 (1).xls,批量信息1,,2026-04-15 02:15:14,0950050038475391,0950000048227895,2026年2月电费
31,31,2026-03,564.93,527.1,902.99,60.14,2055.18,0.01,0.21,0.65,0.79,1.67,,,,,,,,,,,,0,深圳市耀嵘科技有限公司20260301 (1).xls,批量信息1,,2026-04-15 02:15:14,0950050038124248,0950000880022175,2026年2月电费
32,32,2026-03,480.11,455.25,799.14,55.53,1790.06,0.02,0.2,1.13,1.47,2.84,,,,,,,,,,,,0,深圳市耀嵘科技有限公司20260301 (1).xls,批量信息1,,2026-04-15 02:15:14,0950050038007239,0950000048227895,2026年2月电费
